<<<<<<< HEAD
1.317991286936830342e+01 3.798526472334068926e-01 -1.100025812000000087e+03 2.534062482080903505e-17 2.581695235503477844e-17
1.320622008068440856e+01 3.371621939951620073e-01 -1.098045624000000089e+03 2.137122870226125666e-17 2.165702522279669715e-17
1.320622008068440856e+01 2.929370826389543492e-01 -1.096345623999999816e+03 1.781464978004244786e-17 1.838624282111332575e-17
1.323252729200051370e+01 2.487058791884546316e-01 -1.094765435999999909e+03 1.470264322310098476e-17 1.536950177101700640e-17
1.320622008068440856e+01 1.983634574478688462e-01 -1.093545624000000089e+03 1.406753984413333923e-17 1.482966389889451387e-17
1.344298498252935126e+01 1.800639285582417148e-01 -1.092923931999999695e+03 1.505195008153318980e-17 1.584582930524274055e-17
=======
4.654442304000000377e+02 3.798526472334068926e-01 -2.805758119999999849e+02 1.266860112394073774e-05 1.290673272401481560e-05
4.663732608000000255e+02 3.371621939951620073e-01 -2.785956239999999866e+02 1.068417112332345445e-05 1.082705008336790150e-05
4.663732608000000255e+02 2.929370826389543492e-01 -2.768956239999999411e+02 8.906121842770370944e-06 9.191879762859258275e-06
4.673022912000000133e+02 2.487058791884546316e-01 -2.753154360000000338e+02 7.350328722286418644e-06 7.683712962390122224e-06
4.663732608000000255e+02 1.983634574478688462e-01 -2.740956239999999866e+02 7.032819922187654096e-06 7.413830482306173078e-06
4.747345344000000296e+02 1.800639285582417148e-01 -2.734739319999999907e+02 7.524958562340741221e-06 7.921844562464196694e-06
>>>>>>> dac8439460581b3fa7cef79452743b09da23db07
